woord,suggestie_1,suggestie_2,suggestie_3,suggestie_4
bilateraal,van twee kanten,,,
binnen het raam van onze voorwaarden,binnen onze werkwijze,wij eisen,,
black spot,onveilige verkeersplek,,,
blijkens,zoals blijkt uit,,,
borgen,veilig stellen,vastzetten,,
bovengenoemd / bovenvermeld,het / de hiervoor genoemde,,,
bovenstaand,deze,dit,wat hierboven staat,
capaciteit,vermogen,,,
casu quo (c.q.),en,of,,
categorie,soort,rubriek,,
cie.,commissie,,,
circa,ongeveer,,,
clausule,bepaling,regel,voorbehoud,
clusteren,samenvoegen,,,
compatibel,uitwisselbaar,verenigbaar,,
compensatie,vergoeding,schade goed maken,,
competentie,bekwaamheid,kundigheid,,
completeren,aanvullen,vol maken,,
complex,moeilijk,ingewikkeld,gebouw,
complexiteit,moeilijkheid,ingewikkeldheid,veelheid,
concentratie,bundeling,,,
concept,ontwerp,schets,,
concipiëren,ontwerpen,schetsen,zwanger worden,
concreet,praktisch,duidelijk,,
conditie,voorwaarde,,,
configuratie,samenstelling,,,
conflictsituatie,ruzie,conflict,,
conform,zoals,volgens,kloppend met,
consensus,overeenstemming,,,
consequenties,gevolgen,,,
consistent,logisch,"samenhangend,",,
consolidatie,samenvoegen,,,
constateren,zien,vaststellen,,
constellatie,samenstelling,stand van zaken,,
constructief,opbouwend,bruikbaar,nuttig,
consultatief,advies vragend,,,
consulteren,raad vragen,hulp zoeken,,
context,omstandigheid,verband,situatie,
continu(e),doorlopend(e),blijvend(e),,
continueren,doorgaan,handhaven,,
convenant,overeenkomst,afspraak met (..),,
courant,gangbaar,gebruikelijk,,
creëren,maken,,,
criterium,norm,richtlijn,vereiste,eis
cruciaal,noodzakelijk,belangrijk,bepalend,doorslaggevend
cum suis (c.s.),met partners,en anderen,,
cumulatief,toenemend,oplopend,,
curieus,vreemd,merkwaardig,,
daadwerkelijk,in­der­daad,,,
daar,omdat,,,
daarenboven,behalve dat,bovendien,,
dagtekening,datum (van brief),,,
dan wel,of,,,
danig,nogal,zeer,,
dankzeggen,bedanken,,,
dat wil zeggen (d.w.z.),dus,,,
de dato (d.d.),op,van,,
de facto,in feite,,,
de handen ineen slaan,samenwerken,,,
de mening zijn toegedaan,vinden,,,
decentraal,niet centraal,lokaal,plaatselijk,
deductief,afgeleid,,,
delegeren,laten doen,machtigen,,
definiëren,beschrijven,vaststellen,,
deregulering,regels afschaffen,versimpelen,,
derhalve,dus,daarom,,
dergelijke,zulke,,,
derogatie,vertraging,uitstel,,
derven,mislopen,verliezen,,
derving,verlies,,,
desalniettemin,toch,maar,,
desbetreffend,over,onderwerp,,
desbetreffend onderwerp,dit,,,
desiderata,wensen,,,
desideratum,wens,,,
desondanks,toch,,,
destijds,toen,,,
deswege,daarom,,,
dezerzijds,ik,wij,,
dicta,beslissingen,,,
dictum,beslissing,,,
dienaangaande,daarover,,,
dienen te,moeten,,,
dienovereenkomstig,(net) zo,,,
dientengevolge,daardoor,,,
differentiëren,onderscheiden,verschillen,,
discontinu,onderbroken,,,
discrepantie,afwijking,niet logisch,,
diskwalificatie,afkeuring,,,
distribueren,versturen,verdelen,,
diversiteit,verschillend,keuze,,
doch,maar,,,
documenteren,"vastleggen, 2. bijhouden, 3. opschrijven, 4. bewijzen, 5. uitleggen met documenten",,,
doen toekomen,toesturen,opsturen,sturen,
dogmatisch,streng,rechtlijnig,,
door middel van,door,met,,
doorgang vinden,doorgaan,,,
doorontwikkelen,zie: ontwikkelen,,,
doorpakken,doorgaan,,,
draagvlak,steun,,,
dusdanig,zo,,,
duurzaam,degelijk,houdbaar,milieuvriendelijk,
echter,maar,,,
edoch,maar,toch,,
educatief,leerzaam,,,
een en ander (e.e.a.),deze,dit alles,,
een klein aantal,enkele,,,
eerder genoemde,"deze, dit",,,
eerst,pas,pas als,,
eerstbedoeld,die,dat,,
eerstens,als eerste,,,
effectueren,uitvoeren,doen,,
elders,ergens anders,,,
eliminering,verwijderen,uitschakelen,,
elkeen,iedereen,,,
enerzijds,aan de ene kant,,,
enige,een paar,enkele,,
entameren,beginnen aan,aansnijden,,
epistel,brief,,,
equivalent,gelijk(waardig),,,
er is be­slo­ten,"Hier al­leen mel­den wat be­slo­ten is: ""Van­af ... """,,,
ergo,dus,,,
essentieel,onmisbaar,noodzakelijk,,
evaluatie,bespreking,beoordeling,,
evalueren,beoordelen,,,
evenbedoeld(e),dit,deze,,
eveneens,ook,,,
evenwel,maar,toch,,
evenzeer,ook,net zo,,
evenzo,ook,net zo,,
evident,(meteen) duidelijk,,,
ex (artikel),volgens,vanuit,,
ex nunc,vanaf nu,,,
excerperen,een samenvatting maken,,,
exorbitant,overdreven,,,
expertise,deskundigheid,,,
expireren,aflopen,eindigen,ophouden,
explicatie,uitleg,,,
expliciet,uitdrukkelijk,nadrukkelijk,,
exploitatie,gebruik,,,
faciliteren,ondersteunen,mogelijk maken,,
fasegewijs,in delen,in stappen,,
fiatteren,bekrachtigen,,,
flankerend,daarnaast,extra,bijbehorend,
focus,nadruk,aandacht,,
formaliteit,voor de vorm,omdat het moet,,
fungeren,dienst doen als,optreden,,
gaarne,graag,,,
garant staan voor,garanderen,beloven,,
geaccordeerd,goedgekeurd,,,
geagendeerd,staat op de agenda,,,
gecoördineerd,afgestemd,,,
gedurende,tijdens,,,
gedurende de tijd dat,terwijl,,,
geëigend,geschikt,passend,,
geenszins,(zeker) niet,,,
gelet op (het feit dat),omdat,,,
gefaseerd,in delen,in stappen,,
geïntegreerde aanpak,in één keer,algemene aanpak,,
geïnvolveerd,betrokken,,,
gelet op,omdat,met het oog op,,
gelieve te,vervang door werkwoord,,,
gelijk,nu,meteen,,
gelijkluidend,gelijk,hetzelfde,,
gelijktijdig,tegelijk,,,
gemeenzaam,informeel,alledaags,,
genereren,maken,,,
genoegzaam,voldoende,algemeen,tevreden,
gerealiseerd,gemaakt,,,
gereed,klaar,,,
geschieden,gebeuren,vervang door werkwoord,,
geschil,ruzie,conflict,,
gestructureerd,goed voorbereid,geordend,gerangschikt,
gewaag maken van,melden,bekend maken,,
gezien het bovenstaande,daarom,met het oog op,,
gezien het feit dat,omdat,,,
gremium / gremia,overleg(gen),vergadering,,
grenzend aan,naast,,,
grootstedelijk,in of van de grote steden,,,
hangende (het besluit),zolang nog niets is besloten,,,
har­mo­ni­se­ren,op elkaar afstemmen,gelijktrekken,,
heden,vandaag,nu,,
heroriëntatie,opnieuw bekijken,,,
het besluit nemen,besluiten,beslissen,,
het doel is om,we willen,,,
het is geboden,het moet,,,
het kan niet worden tegengesproken dat,het is zo,het is waar,,
het ligt geenszins in de bedoeling dat u,u hoeft niet,ik bedoel niet,,
het moge duidelijk zijn,het is duidelijk,u weet dat..,,
het valt te,het kan,we kunnen,,
het ware te,(..) is,,,
hetgeen,dat wat,wat,,
hetwelk,dat,wat,,
hiërarchie,rangorde,,,
hiernavolgende,volgende,,,
hieromtrent,hierover,,,
hieronder ressorteren,hieronder vallen,,,
hiertoe,hiervoor,,,
hoewel,(maar) toch,,,
hoofdlijnen,de belangrijkste punten,,,
hoofdzakelijk,vooral,,,
hoogachtend,met vriendelijke groet (alleen niet bij een juridisch conflict),,,
horizontaal werkverband,samenwerken op één niveau,,,
houdende,met,,,
hub,knooppunt,verzameling,,
immers,want,toch,ook,namelijk
impact,invloed,werking,draagwijdte,
implementatie,uitvoering,invoering,,
implementeren,invoeren,toepassen,,
implicatie,gevolg,,,
impliceren,betekenen,inhouden,,
impliciet,niet duidelijk,zonder nadruk,,
impuls,prikkel,aansporing,behoefte,
in aanmerking nemen,rekening houden met,,,
in acht nemen,voldoen aan,letten op,,
in beeld brengen,beschrijven,(aan)tonen,,
in beginsel,eigenlijk,liever,,
in casu,in het geval dat,,,
in concreto,dus,feitelijk,,
in de gelegenheid zijn,kunnen,,,
in de nabije toekomst,binnenkort,snel,,
in de nabijheid van,vlakbij,in de buurt van,,
in de omstandigheid verkeren,zijn,hebben,,
in de week leggen,voorbereiden,alvast beginnen,,
in deze,hierin,,,
in dier voege,zo,op die manier,,
in gemeen overleg,samen,in overleg met,,
in gesprek gaan over,bespreken,,,
in goede orde,goed,,,
in het kader van,binnen,om,voor,vanuit
in het licht van,daarom,,,
in het merendeel van de gevallen,meestal,bijna altijd,,
in mindere mate,minder,,,
in overweging nemen,nadenken over,,,
in samenwerking met (i.s.m.),(samen) met,,,
in situ,ter plekke,meteen,,
in toenemende mate,steeds vaker,,,
in verband met,door,omdat,,
in werking stellen,beginnen,starten,,
in werking treden,(..) geldt vanaf,beginnen,,
incident,gebeurtenis,,,
incourant,ongewoon,,,
indicatie,aanwijzing,,,
indien,als,wanneer,,
inflatie,waardevermindering (van geld),,,
ingeval,als,wanneer,,
ingeval van,bij,als,,
ingevolge,door,als gevolg van,,
inhoudelijk,over de inhoud,,,
initiatief,plan,idee,,
initieel,eerst,om te beginnen,eigenlijk,
innoveren,vernieuwen,,,
innovatie,vernieuwing,,,
innovatief,vernieuwend,,,
input,inbreng,ideeën,gegevens,
institueren,instellen,oprichten,,
institutionaliseren,vastleggen,invoeren,,
instrumentarium,middelen en mogelijkheden,,,
integraal,volledig,helemaal,,
integreren,inpassen,aanpassen,bij elkaar brengen,
intentie,bedoeling,we willen,,
interpretatie,mening,opvatting,,
interventie,tussenkomst,stoppen,,
inventarisatie,nagaan,kijken hoeveel er is,,
inzake,over,rond,,
inzamelen (van afval),ophalen,,,
inzetten op,werken aan,proberen te bereiken,,
item,onderwerp,punt,,
jegens,over,tegenover,,
jongstleden (jl.),datum,onlangs,,
juncto,samen met,,,
jurisprudentie,eerdere rechtspraak,,,
kennisnemen van,horen,lezen,,
kerntaak,de belangrijkste taak,,,
kick-off,aftrap 2. opening. 3 feestelijke start,,,
kortsluiten,even afspreken,iets onder stroom zetten,,
krachtens (de wet),volgens (de wet),,,
kwalificatie,beoordeling,,,
kwestieus,twijfelachtig,,,
laatst(elijk),pas,,,
laatstbedoelde,deze,dit,,
landen,begrepen worden,geaccepteerd,,
langjarig,jarenlang,,,
larderen met,voorzien van,,,
lead buyer,inkoper,,,
Lectori Salutem (LS),Geachte,"Beste,",,
leges,geld,kosten,,
leiden tot,geven,opleveren,,
licentie,vergunning,,,
lijntjes leggen,verbinden met,,,
litigieus,betwist,twijfelachtig,,
locatie,plaats,plek,gebouw,
maaiveld,straathoogte,,,
maatgevend,bepalend,beslissend,,
managen,besturen,doen,,
mandaat,toestemming,,,
manifest worden,duidelijk worden,,,
mede,ook,onder andere,,
mededelen,meedelen,bekend maken,,
medio,halverwege (de maand),half,,
meenemen,onthouden,erbij betrekken,,
meerdere,meer,verschillende,meer dan 1,
meergenoemd,al eerder genoemd,,,
meerwaarde,winst,vooruitgang,,
menigeen,veel mensen,velen,,
merendeels,de meeste,vooral,,
met als resultaat dat,zodat,,,
met behulp van,met,door,,
met betrekking tot,over,,,
met de bedoeling dat,om,daarom,,
met het oog op,om,daarom,,
met het resultaat dat,zodat,,,
met name,vooral,,,
met referte aan,(ik) verwijs naar,,,
met terzijde laten van,zonder,,,
met weglating van,zonder,,,
middelen,geld,,,
middels,door,,,
mijn inziens (m.i.),ik vind,,,
mijne heren,geachte dames en heren,,,
mits,op voorwaarde dat,,,
mitsdien,daarom,dus,,
modaliteiten,(verkeers)soorten,,,
momenteel,nu,,,
monitoren,bekijken,bestuderen,volgen,nagaan
motie,(politiek) voorstel,,,
motiveren,aanmoedigen,redenen geven,,
mutaties,wijzigingen,,,
naar (de mensen / de partijen) toe,voor (de mensen / de partijen),,,
naar aanleiding van,vanwege,na,omdat,
naar behoren,goed,,,
nader(e),verder(e),,,
nagenoeg,bijna,,,
navolgende,volgende,,,
navrant,pijnlijk,,,
neveneffect,onverwacht effect,gevolg,,
nevenvermelde,"deze, dit",hiernaast beschreven,,
niettemin,toch,,,
niettegenstaande,ondanks,,,
nochtans,toch,nu,,
noodzakelijk,nodig,,,
nopen,nodig zijn,nodig maken,dwingen,
nopens,over,onderwerp,,
"of, en zo ja op welke wijze","'of, en hoe'",,,
officieus,niet officieel,,,
ofschoon,hoewel,al,toch,maar
oftewel,of,,,
om de reden dat / om de reden van,omdat,,,
om deze redenen,daarom,,,
om niet,gratis,,,
om te komen tot,om,,,
ombuiging,meer of minder geld geven,bezuiniging,,
omtrent,over,,,
omvangrijk,groot,,,
onbezoldigd,niet betaald,,,
ondanks het feit dat,hoewel,(maar) toch,,
onder curatele stellen,laten controleren,toezicht opleggen,,
onder invloed van,door,,,
onder referte aan,zoals in (verwijzing),,,
onder verwijzing naar,over,,,
onderbouwing,toelichting,uitleg,,
ondergetekende,ik,bij mij,,
onderhavige,dit,deze,,
onderscheidend,opvallend,,,
onderscheidenlijk,of,in de volgorde van (als je een precieze volgorde bedoelt),duidelijk,
onderwerpelijk,"deze, dit",,,
onderwijl,intussen,,,
ongeacht,of nu wel of niet,,,
ongenoegen,klacht,boosheid,,
onjuist,verkeerd,fout,,
onlangs,pas,op (datum),,
ontplooien,inzetten,vormen,,
ontsluiten van (gebieden),verbinden van (gebieden) met,,,
ontwikkelen,maken,bedenken,bouwen,vormen
onverlet,dat betekent niet,dat doet niets af aan het feit dat,,
onverwijld,onmiddellijk,strikt,,
onzes inziens (o.i.),wij vinden,,,
oogmerk,doel,,,
oorzaak ligt in het feit,dit komt door,,,
op deze wijze,zo,,,
op een prettige wijze,goede (..),,,
op grond van het voorgaande,daarom,,,
op het gebied van,op,over,voor,
op het huidige moment,nu,,,
op na te volgen wijze,op de volgende manier,,,
op voorhand,eerst,vooraf,,
op welke wijze,hoe,,,
opgave,vraagstuk,taak,karwei,
opstarten,beginnen,,,
opteren,(mogelijk) kiezen,,,
optimaal,zo goed mogelijk,,,
optimaliseren,verbeteren,,,
overhead,bijkomende kosten,,,
panel,(onderzoeks)groep,,,
paraaf,handtekening,,,
paraferen,handtekening zetten,,,
participeren,meedoen,meepraten,meedenken,meebeslissen
partieel,gedeeltelijk,,,
peildatum,vanaf (datum),sinds (datum),,
per abuis,per ongeluk,,,
per omgaande,meteen,direct,,
piketpaaltjes slaan,grenzen (leggen),paaltjes slaan,,
pilot,proef(project),,,
pogen,proberen,,,
portefeuille,portemonnee,taken,beleidsterrein,
positioneren,plaatsen,herkenbaar maken,,
potentieel,mogelijk(heid),vermogen,,
prealabel,voorafgaand,,,
precedent,voorbeeld dat later gevolgd kan worden,verkeerd  voorbeeld,het eerder gebeurde,
precedentwerking,voorbeeld geven (verkeerd),,,
preliminair,voorafgaand,,,
prevaleren,voorgaan,gaan boven,kiezen,
preventief,om (..) te voorkomen,,,
preventieve maatregelen,acties om (..) te voorkomen,,,
primair (behalve bij onderwijs),in de eerste plaats,belangrijkste,eerste,
principe,keuze,uitgangspunt,,
prioriteit,voorrang,belangrijk doel,,
prioriteitsstelling,volgorde van belangrijkheid,,,
pro forma,voor de vorm,zonder te zeggen war het om gaat,zonder gronden in te dienen,
proactief,actief,voorkomen,tegen cholesterol,
problematiek,problemen,moeilijkheden,kwestie,
procedure,werkwijze,,,
procedureel,afgesproken manier van werken,,,
profileren,kenbaar maken,onderscheiden,,
prognose,voorspelling,inschatting,verwachting,
prognosticeren,voorspellen,inschatten,verwachten,
projecteren,plannen (werkwoord!),het plan is om ... te bouwen,,
prolongeren,verlengen,,,
prominent,belangrijk,,,
qua,over,rond,,
quickscan,snel onderzoek op hoofdlijnen,natte vingerwerk,,
quod non,wat niet waar is,,,
quote,citaat,,,
randvoorwaarden,eisen,voorwaarden,,
rationeel,verstandig,redelijk,,
reactief,afwachten,te laat,achter de feiten aan,
realiseren,(be)halen,bereiken,"bouwen, maken, oprichten",
recentelijk,pas,,,
reces,vakantie(periode),,,
rechtens,volgens het recht,rechtmatig,,
reclamant,de bezwaarmaker,naam,,
reden daartoe,om(dat),,,
reductie,vermindering,korting,,
reeds,al,,,
referentie,verwijzing,,,
refereren,verwijzen,,,
reflecteren,nadenken over,kijken naar,reageren,
regarderen,aangaan,,,
regulier,gebruikelijk,,,
relatie,samenhang,verband,,
relatief,betrekkelijk,naar verhouding,,
relationeel,hangt samen met,binnen,,
relevant,belangrijk,,,
repliceren,antwoorden,,,
respectievelijk,en,of,in die volgorde,
respons,antwoord,,,
restricties,beperkingen,grenzen,,
restitutie,terugbetaling,'u krijgt (..) euro terug',,
resulteren in,leiden tot,,,
resumé,samenvatting,,,
resumerend,samenvattend,,,
retourneren,terugsturen,,,
retourzenden,terugsturen,,,
retributie,bijdrage,,,
robuust,stevig,flink,,
ruchtbaarheid geven aan,aandacht geven,bekend maken,,
sanctie(s),maatregel(en),,,
sanctioneren,goed- of afkeuren,,,
schrijven,brief,,,
sedert,sinds,vanaf,,
separaat,apart,los,,
seponeren,niet vervolgen,laten liggen,,
shared services,centralisatie,,,
significant,opvallend,statistisch verantwoord,,
slechts,alleen,,,
specifiek,vooral,in het bijzonder,kenmerkend,nadrukkelijk
spin-off,gevolg,,,
stagnatie,vertraging,,,
stakeholder(s),betrokkene(n),betrokken partij(en),belanghebbende(n),
stimuleren,aanmoedigen,prikkelen,sturen,
strategie,plan,aanpak,,
stringent,strikt,streng,,
structureel,jaarlijks,belangrijk,voortdurend,
subsidiaal,kan subsidie krijgen,,,
substantiële,flinke,belangrijke,,
successievelijk,na elkaar,achtereenvolgens,,
summier,kort,beperkt,,
suppletoir,aanvullend,,,
tal van,veel,,,
target(s),doel(en),,,
taskforce,werkgroep,projectgroep,,
te (plaatsnaam),in (plaatsnaam),,,
te allen tijde,altijd,,,
te meer daar,(zeker) omdat,,,
te onzent,bij ons,,,
te uwe namen,op uw naam,,,
te uwent,bij u,,,
te zijner tijd (t.z.t.),later,dan,(n)ooit,
tegemoet zien,verwachten,,,
temporiseren,uitstel,,,
ten aanzien van,over,,,
ten behoeve van (t.b.v.),"om, voor",,,
ten dele,gedeeltelijk,,,
ten detrimente van,op kosten van,,,
ten einde,om,,,
ten gevolge van,door,,,
ten grondslag liggen aan,reden (is),,,
ten gunste van,voor,,,
ten opzichte van,tegenover,over,,
ten tijde van,toen,op het moment van,,
ten vervolge op,na,,,
teneinde,om,,,
tenzij,behalve als,,,
ter bereiking hiervan,om dit te bereiken,,,
ter hand nemen,beginnen,,,
ter hand stellen,geven,,,
ter realisering van dit oogmerk,om (..) te bereiken,,,
ter zake,over,,,
ter zitting,op/tijdens de zitting,,,
terdege,uiteraard,wel,nauwkeurig,
terugkoppelen,informeren,doorgeven wat gebeurd of besproken is,,
terugmelden,melden,,,
terzake,over,,,
tevens,ook,,,
thans,nu,,,
tijdpad,planning,,,
tijdsbestek,tijd,periode,,
toekomen (doen-),toesturen,opsturen,sturen,
toentertijd,toen,,,
tool,handreiking,handleiding,middel,hulpmiddel
topic,onderwerp,,,
tot beschikking hebben,hebben,bezitten,,
tot taak hebben,moeten,,,
trachten,proberen,,,
transformatie,verandering,aanpassing,gebruikswijziging (bij gebouwen of gebieden),omzetting
transitie,overgang,aanpassing,reorganisatie,
transparant,open,doorzichtig,te controleren,
u gelieve,wilt u,,,
uiteenzetten,bekend maken,uitleggen,,
uiting geven aan,uiten,zeggen,,
uitkristalliseren,duidelijk worden,,,
uitstralingseffect,gevolg,,,
uitvoerende,naam (van partij die het werk doet),,,
uitzetten,(laten) doen,,,
ultimo,uiterlijk,,,
universeel,algemeen,,,
urgent,dringend,heeft haast,nodig,
urgentie,spoed,haast,,
uwerzijds,(van) u,,,
vacant,vrij,,,
vacaturehoudend,(de plek) waar een vacature bestaat,,,
valide,geldig,krachtig,betrouwbaar,waar
valideren,goedkeuren,,,
van de zijde van,door,van,,
van mening zijn,vinden,,,
van oordeel zijn,vinden,,,
van plan zijn,willen,,,
van start gaan,beginnen,,,
vanwege,omdat,,,
veelal,vaak,,,
veelvuldig,vaak,,,
verbeterpunten,fouten,verbeteringen,,
verblijfskwaliteit,prettig om te verblijven (of juist niet!),,,
verblijfsruimte,ruimte om te verblijven,,,
verdagen,uitstellen (van een zitting of een besluit),,,
verhandelde ter zitting,wat besproken is op de zitting,,,
verifiëren,controleren,nagaan,vergelijken,onderzoeken
verkiezen boven,kiezen voor,,,
verlenen,geven,toestaan,,
vermelden,melden,noemen,aankondigen,bekendmaken
vermogen,kunnen,bezit,,
verordening,(document met) regels,,,
verplicht zijn om,moeten,,,
verschuldigd zijn,moeten betalen,,,
verstreken periode,afgelopen tijd,,,
vertaalslag,uitwerking (voor),,,
vertrouwen opzeggen,wegsturen,ontslaan,,
vervolgens,daarna,,,
verwerven,kopen,krijgen,verdienen,
verwijderen,weghalen,,,
verzuimen,niet doen wat moet gebeuren,,,
vigeren,gelden,,,
vigerend,geldend,,,
voldoen,betalen,,,
volgaarne,graag,,,
volgtijdelijk,na elkaar,,,
voor het geval dat,als,,,
voor wat betreft,over,,,
voorafgaandelijk,vooraf,,,
vooraleer,voordat,,,
vooralsnog,voorlopig,tot nu toe,,
voorheen,vroeger,eerder,,
voorliggen,te beantwoorden,te behandelen,,
voorliggend(e),dit,deze,,
voormeld,eerder genoemd,,,
voormelde,"dit, 2. deze",,,
voornemen,plan,,,
voornemens zijn,willen,,,
voornoemd,eerder genoemd,,,
voornoemde,"dit, 2. deze",,,
voorshands,voorlopig,(voor) nu,,
voorts,verder,en,ook,bovendien
voorwaarden scheppen,mogelijk maken,,,
voorzien (in),mogelijk maken,plannen (werkwoord!),,
voorzieningen,mogelijkheden,zorg,hulp,hulpmiddelen
vorderen,eisen,,,
vorenbedoelde,"dit, 2. deze",eerder genoemd,,
vorenomschreven,"dit, 2. deze",,,
vorenstaande,"dit, 2. deze",eerder genoemd,,
vraagpunt,vraag,,,
vrijwel,bijna,,,
vroegtijdig,op tijd,vroeg,eerder,
waarborgen,"garanderen, 2. verzekeren",,,
waarnemen,zien,,,
wat betreft,over,,,
waterscheiding,sloot,,,
we wensen,we willen,,,
we zijn niet in de gelegenheid,we kunnen niet,,,
we zijn ons er ten volle van bewust,we weten,,,
weder,weer,,,
wederom,(al)weer,opnieuw,,
wederpartij,de andere partij,,,
wederrechtelijk,in strijd met het recht,,,
weliswaar,inderdaad,maar,,
welke,die,,,
wellicht,misschien,,,
werkbaar,praktisch,,,
werkvoorraad,achterstand,,,
werkzaam zijn,werken,,,
weshalve,daarom,,,
wij vertrouwen erop u hiermee voldoende te hebben geïnformeerd,"Misschien heeft u nog vragen. Bel dan met (contactpersoon, nummer). Of mail via (e-mailadres)",,,
willens en wetens,bewust,met opzet,toch,
woonachtig zijn,wonen,,,
woonvoorziening,woning,,,
zelfredzaamheid,zich kunnen redden,,,
zero-tolerance,streng,geen-pardon,,
zich beraden,nadenken over,,,
zich verstaan met,overleggen met,,,
zien op,gaan over,,,
zijdens,door,vanuit,van de kant van,
zodanig,zo,,,
zodanige,zo'n,,,
zodoende,dus,zo,,
zonder meer,zo maar,gewoon,,
zonder uitzondering,altijd,helemaal,iedereen,
zorg dragen,(ervoor) zorgen,,,
zorgdragen,(ervoor) zorgen,,,
zulks,dit,,,
zulks impliceert derhalve,dit betekent,,,
